,model,seed,name,MCC
653,lr,10_skf_3,lr_seed_10_skf_3_paras_2_C_0.01_weight_balanced,0.26
654,lr,10_skf_4,lr_seed_10_skf_4_paras_2_C_0.01_weight_balanced,0.271
655,lr,11_skf_0,lr_seed_11_skf_0_paras_2_C_0.01_weight_balanced,0.21600000000000003
656,lr,11_skf_1,lr_seed_11_skf_1_paras_2_C_0.01_weight_balanced,0.287
657,lr,11_skf_2,lr_seed_11_skf_2_paras_2_C_0.01_weight_balanced,0.271
658,lr,11_skf_3,lr_seed_11_skf_3_paras_2_C_0.01_weight_balanced,0.249
659,lr,11_skf_4,lr_seed_11_skf_4_paras_2_C_0.01_weight_balanced,0.212
660,lr,12_skf_0,lr_seed_12_skf_0_paras_2_C_0.01_weight_balanced,0.303
661,lr,12_skf_1,lr_seed_12_skf_1_paras_2_C_0.01_weight_balanced,0.26
662,lr,12_skf_2,lr_seed_12_skf_2_paras_2_C_0.01_weight_balanced,0.298
663,lr,12_skf_3,lr_seed_12_skf_3_paras_2_C_0.01_weight_balanced,0.271
664,lr,12_skf_4,lr_seed_12_skf_4_paras_2_C_0.01_weight_balanced,0.249
665,lr,13_skf_0,lr_seed_13_skf_0_paras_2_C_0.01_weight_balanced,0.293
666,lr,13_skf_1,lr_seed_13_skf_1_paras_2_C_0.01_weight_balanced,0.271
667,lr,13_skf_2,lr_seed_13_skf_2_paras_2_C_0.01_weight_balanced,0.276
669,lr,13_skf_4,lr_seed_13_skf_4_paras_2_C_0.01_weight_balanced,0.254
670,lr,14_skf_0,lr_seed_14_skf_0_paras_2_C_0.01_weight_balanced,0.304
671,lr,14_skf_1,lr_seed_14_skf_1_paras_2_C_0.01_weight_balanced,0.249
672,lr,14_skf_2,lr_seed_14_skf_2_paras_2_C_0.01_weight_balanced,0.244
673,lr,14_skf_3,lr_seed_14_skf_3_paras_2_C_0.01_weight_balanced,0.282
674,lr,14_skf_4,lr_seed_14_skf_4_paras_2_C_0.01_weight_balanced,0.179
675,lr,15_skf_0,lr_seed_15_skf_0_paras_2_C_0.01_weight_balanced,0.278
676,lr,15_skf_1,lr_seed_15_skf_1_paras_2_C_0.01_weight_balanced,0.276
677,lr,15_skf_2,lr_seed_15_skf_2_paras_2_C_0.01_weight_balanced,0.26
678,lr,15_skf_3,lr_seed_15_skf_3_paras_2_C_0.01_weight_balanced,0.249
679,lr,15_skf_4,lr_seed_15_skf_4_paras_2_C_0.01_weight_balanced,0.26
680,lr,16_skf_0,lr_seed_16_skf_0_paras_2_C_0.01_weight_balanced,0.179
681,lr,16_skf_1,lr_seed_16_skf_1_paras_2_C_0.01_weight_balanced,0.265
682,lr,16_skf_2,lr_seed_16_skf_2_paras_2_C_0.01_weight_balanced,0.282
683,lr,16_skf_3,lr_seed_16_skf_3_paras_2_C_0.01_weight_balanced,0.265
684,lr,16_skf_4,lr_seed_16_skf_4_paras_2_C_0.01_weight_balanced,0.26
685,lr,17_skf_0,lr_seed_17_skf_0_paras_2_C_0.01_weight_balanced,0.28300000000000003
686,lr,17_skf_1,lr_seed_17_skf_1_paras_2_C_0.01_weight_balanced,0.23800000000000002
687,lr,17_skf_2,lr_seed_17_skf_2_paras_2_C_0.01_weight_balanced,0.254
688,lr,17_skf_3,lr_seed_17_skf_3_paras_2_C_0.01_weight_balanced,0.217
689,lr,17_skf_4,lr_seed_17_skf_4_paras_2_C_0.01_weight_balanced,0.271
690,lr,18_skf_0,lr_seed_18_skf_0_paras_2_C_0.01_weight_balanced,0.195
691,lr,18_skf_1,lr_seed_18_skf_1_paras_2_C_0.01_weight_balanced,0.271
692,lr,18_skf_2,lr_seed_18_skf_2_paras_2_C_0.01_weight_balanced,0.304
693,lr,18_skf_3,lr_seed_18_skf_3_paras_2_C_0.01_weight_balanced,0.265
694,lr,18_skf_4,lr_seed_18_skf_4_paras_2_C_0.01_weight_balanced,0.282
695,lr,19_skf_0,lr_seed_19_skf_0_paras_2_C_0.01_weight_balanced,0.20600000000000002
696,lr,19_skf_1,lr_seed_19_skf_1_paras_2_C_0.01_weight_balanced,0.282
