,model,seed,name,MCC
23,svm,4_skf_3,svm_seed_4_skf_3_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.227
25,svm,5_skf_0,svm_seed_5_skf_0_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.26
27,svm,5_skf_2,svm_seed_5_skf_2_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.245
28,svm,5_skf_3,svm_seed_5_skf_3_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.247
29,svm,5_skf_4,svm_seed_5_skf_4_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.156
30,svm,6_skf_0,svm_seed_6_skf_0_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.218
31,svm,6_skf_1,svm_seed_6_skf_1_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.247
32,svm,6_skf_2,svm_seed_6_skf_2_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.179
33,svm,6_skf_3,svm_seed_6_skf_3_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.205
34,svm,6_skf_4,svm_seed_6_skf_4_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.22
35,svm,7_skf_0,svm_seed_7_skf_0_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.248
36,svm,7_skf_1,svm_seed_7_skf_1_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.246
37,svm,7_skf_2,svm_seed_7_skf_2_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.222
38,svm,7_skf_3,svm_seed_7_skf_3_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.209
39,svm,7_skf_4,svm_seed_7_skf_4_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.235
40,svm,8_skf_0,svm_seed_8_skf_0_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.186
41,svm,8_skf_1,svm_seed_8_skf_1_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.258
42,svm,8_skf_2,svm_seed_8_skf_2_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.177
43,svm,8_skf_3,svm_seed_8_skf_3_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.222
44,svm,8_skf_4,svm_seed_8_skf_4_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.205
45,svm,9_skf_0,svm_seed_9_skf_0_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.207
46,svm,9_skf_1,svm_seed_9_skf_1_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.259
47,svm,9_skf_2,svm_seed_9_skf_2_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.252
48,svm,9_skf_3,svm_seed_9_skf_3_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.179
49,svm,9_skf_4,svm_seed_9_skf_4_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.171
50,svm,10_skf_0,svm_seed_10_skf_0_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.241
51,svm,10_skf_1,svm_seed_10_skf_1_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.214
52,svm,10_skf_2,svm_seed_10_skf_2_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.212
53,svm,10_skf_3,svm_seed_10_skf_3_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.273
54,svm,10_skf_4,svm_seed_10_skf_4_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.217
56,svm,11_skf_1,svm_seed_11_skf_1_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.182
57,svm,11_skf_2,svm_seed_11_skf_2_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.233
58,svm,11_skf_3,svm_seed_11_skf_3_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.221
60,svm,12_skf_0,svm_seed_12_skf_0_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.264
62,svm,12_skf_2,svm_seed_12_skf_2_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.218
63,svm,12_skf_3,svm_seed_12_skf_3_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.271
64,svm,12_skf_4,svm_seed_12_skf_4_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.162
