,model,seed,name,MCC
4309,svm,1_skf_4,svm_seed_1_skf_4_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.14800000000000002
4310,svm,2_skf_0,svm_seed_2_skf_0_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.14800000000000002
4312,svm,2_skf_2,svm_seed_2_skf_2_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.139
4313,svm,2_skf_3,svm_seed_2_skf_3_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.183
4315,svm,3_skf_0,svm_seed_3_skf_0_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.139
4316,svm,3_skf_1,svm_seed_3_skf_1_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.162
4317,svm,3_skf_2,svm_seed_3_skf_2_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.17
4319,svm,3_skf_4,svm_seed_3_skf_4_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.257
4320,svm,4_skf_0,svm_seed_4_skf_0_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.20199999999999999
4321,svm,4_skf_1,svm_seed_4_skf_1_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.221
4322,svm,4_skf_2,svm_seed_4_skf_2_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.16
4323,svm,4_skf_3,svm_seed_4_skf_3_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.142
4324,svm,4_skf_4,svm_seed_4_skf_4_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.20600000000000002
4325,svm,5_skf_0,svm_seed_5_skf_0_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.20199999999999999
4326,svm,5_skf_1,svm_seed_5_skf_1_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.184
4327,svm,5_skf_2,svm_seed_5_skf_2_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.225
4328,svm,5_skf_3,svm_seed_5_skf_3_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.244
4331,svm,6_skf_1,svm_seed_6_skf_1_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.165
4332,svm,6_skf_2,svm_seed_6_skf_2_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.183
4333,svm,6_skf_3,svm_seed_6_skf_3_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.165
4334,svm,6_skf_4,svm_seed_6_skf_4_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.138
4335,svm,7_skf_0,svm_seed_7_skf_0_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.24600000000000002
4336,svm,7_skf_1,svm_seed_7_skf_1_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.212
4337,svm,7_skf_2,svm_seed_7_skf_2_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.215
4338,svm,7_skf_3,svm_seed_7_skf_3_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.10400000000000001
4339,svm,7_skf_4,svm_seed_7_skf_4_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.253
4340,svm,8_skf_0,svm_seed_8_skf_0_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.145
4341,svm,8_skf_1,svm_seed_8_skf_1_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.16
4342,svm,8_skf_2,svm_seed_8_skf_2_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.23
4343,svm,8_skf_3,svm_seed_8_skf_3_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.20199999999999999
4344,svm,8_skf_4,svm_seed_8_skf_4_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.20199999999999999
4345,svm,9_skf_0,svm_seed_9_skf_0_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.11599999999999999
4346,svm,9_skf_1,svm_seed_9_skf_1_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.14800000000000002
4347,svm,9_skf_2,svm_seed_9_skf_2_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.165
4348,svm,9_skf_3,svm_seed_9_skf_3_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.221
4349,svm,9_skf_4,svm_seed_9_skf_4_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.131
4350,svm,10_skf_0,svm_seed_10_skf_0_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.13699999999999998
4351,svm,10_skf_1,svm_seed_10_skf_1_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.182
4352,svm,10_skf_2,svm_seed_10_skf_2_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.184
4353,svm,10_skf_3,svm_seed_10_skf_3_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.239
4354,svm,10_skf_4,svm_seed_10_skf_4_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.165
4357,svm,11_skf_2,svm_seed_11_skf_2_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.26
4358,svm,11_skf_3,svm_seed_11_skf_3_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.24
4359,svm,11_skf_4,svm_seed_11_skf_4_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.221
